date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:03:04	100/100	---MCZ	200	added ('OK')	text/plain	date:Sun,%2029%20Aug%202021%2021:03:03%20GMT	https://fitkrub.odoo.com/robots.txt		(from )
23:03:06	648897/648897	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Aug%202021%2021:03:04%20GMT	https://fitkrub.odoo.com/	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/index.html	(from )
23:03:06	11384/11384	---M--	200	added ('OK')	image/png	etag:2cce86c2ff77c597a53e67c89d5f82ae7ae62149	https://fitkrub.odoo.com/web/image/website/1/logo?unique=edce73b	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/image/website/1/logoe90a.png	(from https://fitkrub.odoo.com/)
23:03:06	1171/1171	---M--	200	added ('OK')	image/x-icon	etag:35e2e9ae4aaead3dea9833b5c62f610473188235	https://fitkrub.odoo.com/web/image/website/1/favicon?unique=edce73b	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/image/website/1/favicone90a.ico	(from https://fitkrub.odoo.com/)
23:03:07	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%225f73492f-12d68%22	https://fitkrub.odoo.com/web/static/lib/fontawesome/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/lib/fontawesome/fonts/fontawesome-webfont3e6e.woff2	(from https://fitkrub.odoo.com/)
23:03:07	160618/160618	---MCZ	200	added ('OK')	text/css	date:Sun,%2029%20Aug%202021%2021:03:07%20GMT	https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css	(from https://fitkrub.odoo.com/)
23:03:07	435188/435188	---MCZ	200	added ('OK')	text/css	date:Sun,%2029%20Aug%202021%2021:03:08%20GMT	https://fitkrub.odoo.com/web/content/168-4b8a249/1/web.assets_frontend.css	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/content/168-4b8a249/1/web.assets_frontend.css	(from https://fitkrub.odoo.com/)
23:03:08	18090/18090	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2029%20Aug%202021%2021:03:08%20GMT	https://fitkrub.odoo.com/web/content/170-6617ea6/1/web.assets_common_minimal_js.js	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/content/170-6617ea6/1/web.assets_common_minimal_js.js	(from https://fitkrub.odoo.com/)
23:03:08	2661/2661	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2029%20Aug%202021%2021:03:08%20GMT	https://fitkrub.odoo.com/web/content/171-844761f/1/web.assets_frontend_minimal_js.js	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/content/171-844761f/1/web.assets_frontend_minimal_js.js	(from https://fitkrub.odoo.com/)
23:03:08	11384/11384	---M--	200	added ('OK')	image/png	etag:2cce86c2ff77c597a53e67c89d5f82ae7ae62149	https://fitkrub.odoo.com/web/image/website/1/logo/fitkrub?unique=edce73b	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/image/website/1/logo/fitkrube90a.png	(from https://fitkrub.odoo.com/)
23:03:09	12472/12472	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Aug%202021%2021:03:09%20GMT	https://fitkrub.odoo.com/web/login	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/login.html	(from https://fitkrub.odoo.com/)
